iter	MAE
311	1.271298484
312	1.268723383
313	1.267170627
314	1.266874835
315	1.265538639
316	1.263759759
317	1.262523006
318	1.262380563
319	1.26179623
320	1.261237243
321	1.259509535
322	1.258769842
323	1.256641924
324	1.254973
325	1.253520881
326	1.25152577
327	1.250953263
328	1.249806479
329	1.248952999
330	1.248299937
331	1.247182928
332	1.244900178
333	1.243567197
334	1.241054276
335	1.239440971
336	1.238624937
337	1.238153036
338	1.236695528
339	1.235886622
340	1.235145853
341	1.234484662
342	1.233950608
343	1.232968494
344	1.230741831
345	1.229897622
346	1.228679373
347	1.225958125
348	1.224364466
349	1.223897959
350	1.223147332
351	1.220649588
352	1.22034613
353	1.21988187
354	1.218308788
355	1.217827139
356	1.216677653
357	1.214339959
358	1.213278404
359	1.211122064
360	1.210072828
361	1.209351582
362	1.208436574
363	1.206737351
364	1.205268096
365	1.202932893
366	1.201019302
367	1.199787151
368	1.199078213
369	1.198946428
370	1.198763033
371	1.197423114
372	1.197061969
373	1.193102949
374	1.192297337
375	1.191516485
376	1.190921093
377	1.190761744
378	1.187865702
379	1.186611453
380	1.185493412
381	1.184904091
382	1.18443509
383	1.183782964
384	1.183038141
385	1.182391436
386	1.180949181
387	1.179712694
388	1.177540325
389	1.17464396
390	1.174168481
391	1.173466771
392	1.171819658
393	1.170543679
394	1.168644284
395	1.167498931
396	1.166746481
397	1.166541242
398	1.164179872
399	1.16253381
400	1.161316307
401	1.159267349
402	1.158623886
403	1.158565198
404	1.154975732
405	1.153861996
406	1.152523035
407	1.152049197
408	1.150909515
409	1.148730091
410	1.14709191
411	1.145320743
412	1.144265753
413	1.142424466
414	1.141867551
415	1.140507108
416	1.139950143
417	1.139583339
418	1.13841151
419	1.136991899
420	1.136152863
421	1.13494993
422	1.134513672
423	1.133659489
424	1.133083714
425	1.132292256
426	1.131413405
427	1.130314415
428	1.129666552
429	1.128772604
430	1.128257489
431	1.127344424
432	1.126112068
433	1.125342792
434	1.123784008
435	1.122759614
436	1.121800412
437	1.12104963
438	1.119691067
439	1.11849226
440	1.117888685
441	1.117604178
442	1.116340379
443	1.115843929
444	1.113984919
445	1.113087191
446	1.112180045
447	1.111071798
448	1.110435568
449	1.109501304
450	1.108965958
451	1.107925484
452	1.107262214
453	1.106805243
454	1.105435619
455	1.104696811
456	1.10365983
457	1.102481673
458	1.102058731
459	1.101551716
460	1.100886591
461	1.100208352
462	1.09910219
463	1.098854726
464	1.096581556
465	1.09619721
466	1.093401482
467	1.092916717
468	1.090523633
469	1.088648702
470	1.087201393
471	1.086907416
472	1.086335183
473	1.086025076
474	1.085599588
475	1.084600537
476	1.082716916
477	1.081773566
478	1.081174726
479	1.08035718
480	1.079775321
481	1.079204836
482	1.078469073
483	1.077197355
484	1.07653983
485	1.075324485
486	1.074438663
487	1.074128256
488	1.073202015
489	1.072066264
490	1.071394957
491	1.071158619
492	1.069802503
493	1.067990801
494	1.067040237
495	1.066301817
496	1.065968236
497	1.06472254
498	1.063454336
499	1.06231277
